,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,1,1,18,1,2,2,4,4,5,1,3,1,2,2,0,1,2,2,2,1,1,2,2,4,3,4,1,1,3,4,0,11,11
1,1,1,17,1,2,1,1,1,5,4,3,2,1,2,0,2,1,2,2,2,1,1,2,5,3,3,1,1,3,2,9,11,11
2,1,1,15,1,1,1,1,1,5,4,4,1,1,2,0,1,2,2,2,1,1,1,2,4,3,2,2,3,3,6,12,13,12
3,1,1,15,1,2,1,4,2,2,3,1,1,1,3,0,2,1,2,1,1,1,1,1,3,2,2,1,1,5,0,14,14,14
4,1,1,16,1,2,1,3,3,4,4,1,2,1,2,0,2,1,2,2,1,1,2,2,4,3,2,1,2,5,0,11,13,13
5,1,2,16,1,1,1,4,3,3,4,2,1,1,2,0,2,1,2,1,1,1,1,2,5,4,2,1,2,5,6,12,12,13
6,1,2,16,1,1,1,2,2,4,4,1,1,1,2,0,2,2,2,2,1,1,1,2,4,4,4,1,1,3,0,13,12,13
7,1,1,17,1,2,2,4,4,4,1,1,1,2,2,0,1,1,2,2,1,1,2,2,4,1,4,1,1,1,2,10,13,13
8,1,2,15,1,1,2,3,2,3,4,1,1,1,2,0,2,1,2,2,1,1,1,2,4,2,2,1,1,1,0,15,16,17
9,1,2,15,1,2,1,3,4,4,4,1,1,1,2,0,2,1,2,1,1,1,1,2,5,5,1,1,1,5,0,12,12,13
10,1,1,15,1,2,1,4,4,1,2,2,1,1,2,0,2,1,2,2,1,1,1,2,3,3,3,1,2,2,2,14,14,14
11,1,1,15,1,2,1,2,1,3,4,2,2,3,3,0,2,1,2,1,1,1,1,2,5,2,2,1,1,4,0,10,12,13
12,1,2,15,1,1,1,4,4,2,3,3,2,1,1,0,2,1,2,1,1,1,1,2,4,3,3,1,3,5,0,12,13,12
13,1,2,15,1,2,1,4,3,1,4,3,1,2,2,0,2,1,2,2,1,1,1,2,5,4,3,1,2,3,0,12,12,13
14,1,2,15,1,2,2,2,2,4,4,1,4,1,3,0,2,1,2,2,1,1,1,1,4,5,2,1,1,3,0,14,14,15
15,1,1,16,1,2,1,4,4,2,4,1,1,1,1,0,2,1,2,2,1,1,1,2,4,4,4,1,2,2,6,17,17,17
16,1,1,16,1,2,1,4,4,3,3,2,1,1,3,0,2,1,2,1,1,1,1,2,3,2,3,1,2,2,10,13,13,14
17,1,1,16,1,2,1,3,3,4,4,2,1,3,2,0,1,1,2,1,1,1,2,2,5,3,2,1,1,4,2,13,14,14
18,1,2,17,1,2,1,3,2,3,3,3,1,1,1,3,2,1,1,1,1,1,1,2,5,5,5,2,4,5,2,8,8,7
19,1,2,16,1,1,1,4,3,2,4,1,2,1,1,0,2,2,2,1,1,1,1,2,3,1,3,1,3,5,6,12,12,12
20,1,2,15,1,2,1,4,3,1,4,2,1,1,2,0,2,2,2,2,1,1,1,2,4,4,1,1,1,1,0,12,13,14
21,1,2,15,1,2,1,4,4,2,2,4,2,1,1,0,2,1,1,2,1,1,1,2,5,4,2,1,1,5,0,11,12,12
22,1,2,16,1,1,1,4,2,1,4,3,1,1,2,0,2,2,2,1,1,1,1,2,4,5,1,1,3,5,0,12,13,14
23,1,2,16,1,1,1,2,2,4,4,2,1,2,2,0,2,1,2,1,1,1,1,2,5,4,4,2,4,5,2,10,10,10
24,1,1,15,2,2,1,2,4,3,2,3,1,1,3,0,1,1,2,1,1,1,1,2,4,3,2,1,1,5,2,10,11,10
25,1,1,16,1,2,1,2,2,3,3,1,1,1,1,0,2,1,2,2,2,1,1,2,1,2,2,1,3,5,6,10,11,12
26,1,2,15,1,2,1,2,2,4,4,1,1,1,1,0,2,1,2,2,1,1,1,2,4,2,2,1,2,5,8,11,12,12
27,1,2,15,1,2,1,4,2,2,3,4,1,1,1,0,2,2,2,2,1,1,1,2,2,2,4,2,4,1,0,11,11,11
28,1,2,16,1,1,2,3,4,3,4,1,1,1,2,0,1,1,1,1,1,1,1,2,5,3,3,1,1,5,2,12,12,13
29,1,2,16,1,2,1,4,4,1,1,1,1,1,2,0,2,1,1,1,1,1,1,1,4,4,5,5,5,5,4,12,11,12
30,1,2,15,1,2,1,4,4,2,3,1,1,1,2,0,2,1,1,2,2,1,1,2,5,4,2,3,4,5,0,10,11,11
31,1,2,15,1,2,1,4,4,3,3,2,1,2,2,0,2,1,2,1,1,1,1,2,4,3,1,1,1,5,2,15,15,15
32,1,2,15,2,2,1,4,3,1,5,3,1,1,2,0,2,1,2,1,1,1,1,1,4,5,2,1,1,5,0,13,14,15
33,1,2,15,1,1,1,3,3,4,4,3,1,1,2,0,2,2,2,1,2,1,1,2,5,3,2,1,1,2,0,13,12,12
34,1,2,16,1,2,1,3,2,4,4,1,1,1,1,0,2,1,2,2,2,1,1,2,5,4,3,1,1,5,4,12,12,12
35,1,1,15,1,2,1,2,3,4,4,4,2,2,1,0,2,1,2,1,1,1,2,2,3,5,1,1,1,5,4,11,11,11
36,1,2,15,1,1,1,4,3,1,3,1,1,1,3,0,2,1,2,1,1,1,1,2,5,4,3,1,1,4,0,14,14,14
37,1,2,16,2,2,2,4,4,4,1,2,1,2,3,0,2,1,2,1,1,1,1,1,2,4,3,1,1,5,4,13,13,13
38,1,1,15,2,2,1,3,4,3,2,3,1,1,3,0,1,1,2,1,1,1,1,2,4,3,2,1,1,5,2,11,12,12
39,1,1,15,2,2,1,2,2,5,4,2,1,1,1,0,1,1,2,1,1,1,2,2,4,3,1,1,1,2,8,14,13,12
40,1,1,16,1,1,1,2,2,4,4,1,1,2,2,0,2,1,2,1,2,1,1,1,3,3,3,1,2,3,16,11,11,10
41,1,2,15,1,1,1,4,4,1,4,1,4,1,1,0,2,1,2,2,2,1,1,1,5,4,3,2,4,5,8,10,11,11
42,1,2,15,1,2,1,4,4,3,1,3,2,1,2,0,2,1,2,1,1,1,1,2,4,3,3,1,1,5,0,14,15,15
